BANGLADESH - BOTH SEXES: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
Bladder	1672	0.0	0.1	0.5	1.1	2.4	4.7	6.9	8.2	10.9	18.6	1.1	1.6	0.2	C67
Brain, nervous system	1190	0.3	0.5	1.1	1.1	2.1	2.5	2.6	2.7	3.1	3.4	0.8	0.9	0.1	C70-72
Colorectum	4287	0.0	1.2	3.8	6.0	8.8	11.9	14.6	15.7	15.8	14.3	2.8	3.6	0.4	C18-21
Gallbladder	4712	0.0	0.5	3.3	7.2	12.4	16.6	18.2	21.8	21.1	17.0	3.1	4.2	0.5	C23-24
Hodgkin lymphoma	512	0.2	0.2	0.4	0.2	0.6	1.4	0.5	1.4	0.4	1.9	0.3	0.4	0.0	C81
Kaposi sarcoma	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	C46
Kidney	900	0.4	0.1	0.6	1.4	1.8	1.9	2.4	3.1	3.5	3.3	0.6	0.8	0.1	C64-66
Larynx	3048	0.0	0.2	2.0	4.3	7.7	10.4	9.1	13.8	17.2	18.0	2.0	2.7	0.3	C32
Leukaemia	2075	0.8	0.8	2.6	3.5	3.4	2.3	2.1	3.1	3.8	4.0	1.4	1.5	0.1	C91-95
Lip, oral cavity	10550	0.0	1.3	8.4	14.9	23.7	33.4	41.8	46.0	48.7	48.1	6.9	9.4	1.1	C00-08
Liver	3022	0.1	0.3	1.8	3.7	8.1	12.4	11.7	11.4	12.6	14.3	2.0	2.7	0.3	C22
Lung	10851	0.1	0.5	5.3	11.0	17.5	27.3	41.3	56.2	76.6	100.8	7.1	10.0	1.2	C33-34
Melanoma of skin	153	0.0	0.1	0.0	0.0	0.1	0.1	1.1	0.9	0.4	0.0	0.1	0.1	0.0	C43
Multiple myeloma	586	0.0	0.0	0.2	1.1	1.8	2.9	1.9	3.3	1.5	2.5	0.4	0.5	0.1	C88+C90
Nasopharynx	434	0.1	0.2	0.5	0.6	0.8	0.0	1.3	1.4	1.6	1.3	0.3	0.3	0.0	C11
Non-Hodgkin lymphoma	2287	0.4	1.0	1.6	2.5	4.1	5.8	5.4	6.1	5.9	3.6	1.5	1.8	0.2	C82-85,C96
Oesophagus	13909	0.0	0.8	10.4	21.0	33.6	44.0	57.3	65.3	69.8	68.8	9.1	12.7	1.5	C15
Other pharynx	9958	0.0	0.8	9.0	15.8	21.7	23.1	35.6	47.4	55.1	56.7	6.5	8.9	1.1	C09-10,C12-14
Pancreas	802	0.0	0.0	0.6	1.5	3.0	3.8	3.4	2.4	2.2	1.8	0.5	0.7	0.1	C25
Stomach	6583	0.0	1.1	5.9	10.2	14.3	19.3	24.4	27.0	28.2	26.8	4.3	5.7	0.7	C16
Thyroid	685	0.0	0.2	0.7	1.1	1.7	2.2	2.6	2.6	2.0	0.4	0.4	0.6	0.1	C73
