BANGLADESH - FEMALE: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
Bladder	319	0.0	0.1	0.3	0.4	0.7	3.0	2.1	3.4	2.5	5.7	0.4	0.6	0.1	C67
Brain, nervous system	461	0.4	0.3	1.2	1.3	2.3	1.7	1.0	0.9	1.5	2.8	0.6	0.7	0.1	C70-72
Breast	14836	0.4	14.1	50.1	60.6	65.9	59.6	49.5	39.4	27.4	15.2	19.7	21.7	2.1	C50
Cervix uteri	11956	0.0	5.8	35.9	54.9	64.3	63.0	62.0	56.9	48.2	36.0	15.9	19.2	2.1	C53
Colorectum	1754	0.0	1.1	3.7	5.1	6.4	8.7	11.2	12.4	12.7	12.0	2.3	2.9	0.3	C18-21
Corpus uteri	944	0.1	0.5	3.4	3.8	4.1	5.3	3.6	3.4	3.8	4.9	1.3	1.5	0.2	C54
Gallbladder	3495	0.0	0.8	6.0	10.7	18.2	24.3	27.8	32.0	29.1	20.4	4.6	6.2	0.8	C23-24
Hodgkin lymphoma	187	0.2	0.2	0.4	0.1	0.7	1.6	0.4	0.0	0.0	0.0	0.2	0.3	0.0	C81
Kaposi sarcoma	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	C46
Kidney	280	0.4	0.0	0.7	0.9	1.2	1.4	1.1	0.5	0.4	0.2	0.4	0.4	0.0	C64-66
Larynx	436	0.0	0.0	0.0	0.6	3.4	4.9	0.8	7.5	7.9	0.1	0.6	0.8	0.1	C32
Leukaemia	862	0.5	0.5	2.9	4.2	4.1	1.9	1.3	2.8	3.3	2.5	1.1	1.3	0.1	C91-95
Lip, oral cavity	3430	0.0	1.3	7.2	11.2	15.9	21.8	24.0	24.7	24.2	22.3	4.6	5.9	0.7	C00-08
Liver	1185	0.0	0.3	1.3	3.1	7.2	9.4	8.6	8.8	9.5	8.8	1.6	2.1	0.2	C22
Lung	2123	0.1	0.7	5.4	8.6	8.9	9.0	12.2	14.8	16.8	18.2	2.8	3.6	0.4	C33-34
Melanoma of skin	71	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	C43
Multiple myeloma	347	0.0	0.0	0.0	1.7	2.8	3.9	3.1	1.1	0.7	2.7	0.5	0.6	0.1	C88+C90
Nasopharynx	112	0.0	0.1	0.0	0.6	0.9	0.0	1.3	0.0	0.0	0.0	0.1	0.2	0.0	C11
Non-Hodgkin lymphoma	868	0.4	0.7	1.0	1.6	3.4	5.1	3.6	5.3	5.9	4.0	1.2	1.4	0.2	C82-85,C96
Oesophagus	5342	0.0	0.8	8.9	18.5	26.6	33.3	40.7	46.3	48.6	47.4	7.1	9.5	1.1	C15
Other pharynx	1858	0.0	0.7	5.5	7.6	8.2	9.0	9.3	11.9	13.1	13.6	2.5	3.1	0.3	C09-10,C12-14
Ovary	2912	0.2	2.3	8.7	11.2	13.1	13.1	12.2	10.9	9.0	6.8	3.9	4.4	0.5	C56
Pancreas	287	0.0	0.0	0.7	1.5	2.8	3.1	1.8	0.5	0.0	0.0	0.4	0.5	0.1	C25
Stomach	2528	0.0	1.6	6.6	8.7	10.7	14.2	15.5	14.7	12.4	8.2	3.4	4.1	0.5	C16
Thyroid	532	0.0	0.2	1.2	1.6	2.7	3.4	4.0	4.4	3.7	0.7	0.7	0.9	0.1	C73
