BANGLADESH - MALE: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
Bladder	1353	0.0	0.1	0.6	1.7	4.1	6.5	12.1	13.6	19.6	30.2	1.8	2.5	0.3	C67
Brain, nervous system	729	0.2	0.7	1.1	1.0	1.8	3.3	4.4	4.8	4.7	4.0	0.9	1.2	0.1	C70-72
Colorectum	2533	0.0	1.3	3.9	7.0	11.0	15.0	18.3	19.5	18.9	16.4	3.3	4.3	0.5	C18-21
Gallbladder	1217	0.0	0.2	0.6	3.7	6.8	9.1	7.9	10.2	12.9	13.9	1.6	2.2	0.3	C23-24
Hodgkin lymphoma	325	0.2	0.3	0.4	0.3	0.4	1.1	0.7	3.0	0.8	3.6	0.4	0.5	0.0	C81
Kaposi sarcoma	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	C46
Kidney	620	0.3	0.1	0.5	1.9	2.3	2.5	3.9	6.1	6.7	6.1	0.8	1.1	0.1	C64-66
Larynx	2612	0.0	0.4	4.0	8.0	12.0	15.7	18.1	21.1	26.7	34.3	3.4	4.7	0.5	C32
Leukaemia	1213	1.0	1.2	2.3	2.8	2.7	2.7	3.0	3.5	4.3	5.4	1.6	1.7	0.2	C91-95
Lip, oral cavity	7120	0.1	1.3	9.5	18.6	31.4	44.8	61.2	70.4	73.9	71.5	9.2	13.0	1.6	C00-08
Liver	1837	0.1	0.3	2.2	4.3	9.0	15.2	15.0	14.4	15.8	19.2	2.4	3.3	0.4	C22
Lung	8728	0.1	0.3	5.2	13.4	26.0	45.0	72.8	103.7	138.1	175.6	11.3	16.6	2.0	C33-34
Melanoma of skin	82	0.0	0.0	0.0	0.0	0.2	0.2	2.2	1.9	0.8	0.0	0.1	0.2	0.0	C43
Multiple myeloma	239	0.0	0.0	0.4	0.5	0.7	2.0	0.5	5.7	2.4	2.4	0.3	0.5	0.1	C88+C90
Nasopharynx	322	0.1	0.2	0.9	0.6	0.8	0.0	1.2	3.1	3.3	2.4	0.4	0.5	0.1	C11
Non-Hodgkin lymphoma	1419	0.5	1.4	2.2	3.3	4.6	6.4	7.5	7.1	5.8	3.2	1.8	2.2	0.2	C82-85,C96
Oesophagus	8567	0.1	0.8	11.9	23.5	40.5	54.5	75.2	87.1	91.6	88.2	11.1	15.9	1.9	C15
Other pharynx	8100	0.0	1.0	12.5	23.9	35.0	36.9	64.2	87.9	98.3	95.8	10.5	14.9	1.8	C09-10,C12-14
Pancreas	515	0.0	0.0	0.4	1.6	3.2	4.5	5.1	4.7	4.4	3.5	0.7	1.0	0.1	C25
Prostate	923	0.0	0.0	0.0	0.7	1.5	2.2	6.6	9.5	17.6	31.7	1.2	1.7	0.2	C61
Stomach	4055	0.0	0.6	5.1	11.8	17.7	24.1	34.1	41.1	44.5	43.6	5.3	7.5	0.9	C16
Testis	366	0.1	0.5	0.6	0.7	1.6	1.0	0.7	0.0	2.3	0.5	0.5	0.5	0.0	C62
Thyroid	153	0.0	0.1	0.2	0.6	0.7	1.1	1.0	0.6	0.3	0.2	0.2	0.2	0.0	C73
