WORLD - BOTH SEXES: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
All cancers excl. non-melanoma skin cancer	14067894	8.8	37.5	138.8	220.9	338.2	489.1	683.9	895.8	1114.4	1544.0	199.4	182.0	18.5	C00-97/C44
Bladder	429793	0.0	0.3	1.4	3.3	6.7	12.1	20.3	30.5	44.3	74.5	6.1	5.3	0.6	C67
Brain, nervous system	256213	1.1	1.7	3.6	4.8	6.4	8.2	9.8	11.5	13.3	16.5	3.6	3.4	0.3	C70-72
Colorectum	1360602	0.0	1.5	8.4	15.8	27.4	44.1	67.4	95.1	127.8	196.2	19.3	17.2	1.9	C18-21
Gallbladder	178101	0.0	0.1	0.9	1.8	3.2	5.3	8.0	11.6	16.1	30.8	2.5	2.2	0.2	C23-24
Hodgkin lymphoma	65950	0.4	1.0	1.0	1.0	1.1	1.3	1.4	1.6	1.8	2.2	0.9	0.9	0.1	C81
Kaposi sarcoma	44247	0.1	0.8	0.9	0.7	0.6	0.6	0.7	0.9	1.0	1.4	0.6	0.6	0.0	C46
Kidney	337860	0.5	0.5	2.9	5.3	8.8	13.0	17.9	22.6	26.9	35.0	4.8	4.4	0.5	C64-66
Larynx	156877	0.0	0.1	1.1	2.6	4.9	7.5	10.0	12.1	13.1	12.4	2.2	2.1	0.3	C32
Leukaemia	351965	2.7	2.2	3.5	4.5	6.1	8.3	11.6	15.6	20.1	31.1	5.0	4.7	0.4	C91-95
Lip, oral cavity	300373	0.1	0.9	3.7	6.1	9.5	12.7	15.7	18.3	20.3	23.4	4.3	4.0	0.5	C00-08
Liver	782451	0.2	1.5	8.4	13.8	20.7	30.2	37.9	47.4	62.0	86.0	11.1	10.1	1.1	C22
Lung	1824701	0.0	0.8	7.9	18.3	35.8	63.1	99.2	135.9	179.9	264.3	25.9	23.1	2.7	C33-34
Melanoma of skin	232130	0.0	1.0	2.8	4.0	5.7	7.4	10.3	13.7	16.5	24.7	3.3	3.0	0.3	C43
Multiple myeloma	114251	0.0	0.1	0.6	1.3	2.5	4.1	6.0	8.6	11.1	15.3	1.6	1.5	0.2	C88+C90
Nasopharynx	86691	0.1	0.6	1.9	2.5	3.1	3.5	3.6	3.6	3.5	2.9	1.2	1.2	0.1	C11
Non-Hodgkin lymphoma	385741	0.9	1.6	4.0	5.8	8.6	12.0	16.9	22.5	27.2	38.4	5.5	5.0	0.5	C82-85,C96
Oesophagus	455784	0.0	0.3	2.4	5.8	11.0	18.9	27.4	34.1	38.6	54.3	6.5	5.9	0.7	C15
Other pharynx	142387	0.0	0.2	1.6	3.2	5.2	7.0	8.5	9.6	9.9	8.8	2.0	1.9	0.2	C09-10,C12-14
Pancreas	337872	0.0	0.2	1.3	3.1	6.1	10.4	16.5	24.0	32.5	55.7	4.8	4.2	0.5	C25
Stomach	951594	0.0	0.9	6.4	12.0	20.0	33.2	49.6	65.6	87.9	129.7	13.5	12.1	1.4	C16
Thyroid	298102	0.1	3.0	6.7	8.1	9.3	9.9	10.4	10.3	9.9	9.1	4.2	4.0	0.4	C73
