WORLD - FEMALE: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
All cancers excl. non-melanoma skin cancer	6657518	7.6	48.7	180.1	262.2	356.8	451.2	565.6	685.4	809.9	1149.7	190.4	165.2	16.4	C00-97/C44
Bladder	99413	0.0	0.2	0.8	1.6	3.0	5.0	7.9	11.8	17.0	32.4	2.8	2.2	0.2	C67
Brain, nervous system	116605	1.0	1.5	3.2	4.3	5.5	7.0	8.4	9.9	11.6	15.2	3.3	3.0	0.3	C70-72
Breast	1671149	0.0	14.0	67.1	94.3	117.1	130.3	145.9	159.1	158.1	170.6	47.8	43.1	4.6	C50
Cervix uteri	527624	0.0	8.2	28.4	34.8	38.9	39.0	36.9	35.4	31.8	24.9	15.1	14.0	1.4	C53
Colorectum	614304	0.0	1.5	8.1	14.5	23.9	36.3	53.1	73.4	100.4	168.1	17.6	14.3	1.6	C18-21
Corpus uteri	319605	0.0	1.1	8.3	14.5	22.8	30.6	36.6	38.5	38.7	34.9	9.1	8.2	1.0	C54
Gallbladder	101257	0.0	0.2	1.1	2.2	3.8	5.9	8.4	11.8	15.6	30.6	2.9	2.3	0.2	C23-24
Hodgkin lymphoma	27430	0.2	0.9	0.7	0.7	0.8	0.9	1.1	1.2	1.4	1.8	0.8	0.7	0.1	C81
Kaposi sarcoma	15225	0.1	0.6	0.5	0.4	0.4	0.4	0.4	0.5	0.5	0.7	0.4	0.4	0.0	C46
Kidney	123936	0.5	0.4	2.0	3.4	5.6	8.4	11.7	14.8	18.2	25.3	3.5	3.0	0.3	C64-66
Larynx	18775	0.0	0.1	0.3	0.6	1.1	1.6	2.0	2.7	2.9	2.9	0.5	0.5	0.1	C32
Leukaemia	151289	2.2	1.9	3.2	4.1	5.4	7.1	9.4	12.1	15.2	23.9	4.3	3.9	0.4	C91-95
Lip, oral cavity	101398	0.1	0.7	2.2	3.5	5.3	7.4	9.4	11.6	13.4	17.7	2.9	2.5	0.3	C00-08
Liver	228082	0.1	0.7	3.5	6.0	9.5	14.5	18.9	25.7	36.6	58.5	6.5	5.4	0.6	C22
Lung	583100	0.0	0.7	5.9	12.2	21.8	35.8	55.8	76.9	100.8	158.2	16.7	13.6	1.6	C33-34
Melanoma of skin	111481	0.0	1.2	3.2	4.3	5.7	6.8	8.7	10.8	12.6	18.8	3.2	2.8	0.3	C43
Multiple myeloma	51782	0.0	0.1	0.5	1.1	2.2	3.6	5.1	7.1	9.1	12.7	1.5	1.2	0.1	C88+C90
Nasopharynx	25795	0.1	0.4	1.2	1.4	1.6	1.8	1.8	1.9	1.8	1.8	0.7	0.7	0.1	C11
Non-Hodgkin lymphoma	168098	0.7	1.4	3.3	4.7	7.0	9.9	13.7	18.4	22.5	33.1	4.8	4.1	0.4	C82-85,C96
Oesophagus	132776	0.0	0.2	1.2	2.9	5.1	8.7	13.4	17.8	20.7	34.7	3.8	3.1	0.4	C15
Other pharynx	27256	0.0	0.1	0.7	1.2	1.7	2.3	2.8	3.3	3.4	3.4	0.8	0.7	0.1	C09-10,C12-14
Ovary	238719	0.2	2.3	8.0	11.7	15.5	18.5	20.9	22.7	24.1	26.5	6.8	6.1	0.7	C56
Pancreas	159711	0.0	0.2	1.0	2.4	4.7	8.0	13.2	20.0	28.6	52.4	4.6	3.6	0.4	C25
Stomach	320301	0.0	0.9	5.0	8.1	12.4	19.0	27.5	36.5	51.5	85.8	9.2	7.5	0.8	C16
Thyroid	229923	0.1	4.9	10.7	12.8	14.4	14.7	14.9	14.4	13.4	11.3	6.6	6.1	0.6	C73
