WORLD - MALE: ESTIMATED INCIDENCE BY AGE
Cancer		Total	0-14	15-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75+	Crude	ASR(W)	Cum.[0-74]	ICD-10
All cancers excl. non-melanoma skin cancer	7410376	9.8	26.8	98.5	179.9	319.6	527.8	808.9	1129.0	1476.3	2119.8	208.3	204.9	21.0	C00-97/C44
Bladder	330380	0.0	0.3	1.9	5.0	10.5	19.5	33.4	51.1	76.8	136.0	9.3	9.0	1.0	C67
Brain, nervous system	139608	1.2	1.9	4.0	5.4	7.2	9.3	11.3	13.3	15.2	18.5	3.9	3.9	0.4	C70-72
Colorectum	746298	0.0	1.5	8.7	17.0	30.9	52.1	82.6	119.1	160.3	237.4	21.0	20.6	2.4	C18-21
Gallbladder	76844	0.0	0.1	0.6	1.4	2.6	4.7	7.6	11.3	16.6	31.3	2.2	2.1	0.2	C23-24
Hodgkin lymphoma	38520	0.5	1.1	1.2	1.3	1.5	1.6	1.8	2.0	2.2	2.7	1.1	1.1	0.1	C81
Kaposi sarcoma	29022	0.1	1.0	1.2	1.0	0.9	0.8	0.9	1.3	1.6	2.3	0.8	0.8	0.1	C46
Kidney	213924	0.5	0.5	3.8	7.2	12.0	17.7	24.4	31.2	37.2	49.2	6.0	6.0	0.7	C64-66
Larynx	138102	0.0	0.2	2.0	4.7	8.8	13.5	18.5	22.5	25.1	26.2	3.9	3.9	0.5	C32
Leukaemia	200676	3.1	2.5	3.7	4.8	6.8	9.6	13.9	19.4	25.9	41.7	5.6	5.6	0.5	C91-95
Lip, oral cavity	198975	0.1	1.1	5.1	8.8	13.7	18.1	22.3	25.7	28.5	31.9	5.6	5.5	0.6	C00-08
Liver	554369	0.2	2.3	13.2	21.6	31.9	46.3	57.8	71.3	92.1	126.2	15.6	15.3	1.7	C22
Lung	1241601	0.0	0.9	9.8	24.4	49.8	90.8	145.1	201.1	273.8	419.3	34.9	34.2	3.9	C33-34
Melanoma of skin	120649	0.0	0.7	2.4	3.6	5.7	8.0	12.1	16.9	21.0	33.2	3.4	3.3	0.4	C43
Multiple myeloma	62469	0.0	0.1	0.7	1.5	2.8	4.6	7.0	10.1	13.4	19.1	1.8	1.7	0.2	C88+C90
Nasopharynx	60896	0.1	0.7	2.6	3.6	4.5	5.3	5.4	5.6	5.5	4.3	1.7	1.7	0.2	C11
Non-Hodgkin lymphoma	217643	1.1	1.9	4.7	6.9	10.3	14.2	20.2	27.1	32.8	46.2	6.1	6.0	0.6	C82-85,C96
Oesophagus	323008	0.0	0.4	3.6	8.7	16.9	29.3	42.1	52.1	60.0	82.9	9.1	9.0	1.1	C15
Other pharynx	115131	0.0	0.3	2.4	5.1	8.8	11.8	14.5	16.6	17.7	16.7	3.2	3.2	0.4	C09-10,C12-14
Pancreas	178161	0.0	0.2	1.6	3.9	7.5	12.8	20.1	28.5	37.2	60.6	5.0	4.9	0.6	C25
Prostate	1094916	0.0	0.1	1.3	6.3	26.9	67.0	136.4	227.9	305.4	386.9	30.8	30.6	3.8	C61
Stomach	631293	0.0	0.9	7.7	15.9	27.7	47.7	73.0	97.9	131.1	193.7	17.7	17.4	2.0	C16
Testis	55266	0.2	2.4	2.6	2.1	1.7	1.1	0.9	0.9	1.1	1.6	1.6	1.5	0.1	C62
Thyroid	68179	0.0	1.2	2.8	3.5	4.2	5.0	5.6	5.9	5.8	5.8	1.9	1.9	0.2	C73
